article id	publication date	researcher ids	title	doi	issn	publisher	volume	issue	pages
pub.1107110544	2018-01-01	ur.010525037660.49	Perceiving Artistic Expression: A Formal Exploration of Performance Art Salsa	10.1109/access.2018.2871003	2169-3536	Institute of Electrical and Electronics Engineers (IEEE)	6		61867-61875
pub.1101856690	2018-01-01	ur.01031410061.21||ur.01264125436.15	Video-rate Volumetric Neuronal Imaging Using 3D Targeted Illumination	10.1364/brain.2018.bw2c.6		The Optical Society			bw2c.6
pub.1101007769	2018-01-01	ur.01204131047.09	A detailed decision tree to create, preserve, transfer, and support the emergence profile in anterior maxillary implants using custom abutments.	10.3290/j.qi.a39820	0033-6572		49	5	349-364
pub.1101432380	2018-01-01	ur.010474617377.21||ur.011575122110.62	Monolithic Optical Transceivers in 65 nm Bulk CMOS	10.1364/ofc.2018.w1i.4		The Optical Society			w1i.4
pub.1101857017	2018-01-01	ur.0707030450.48	In Vivo Intravascular Photoacoustic Tomography for Depth-Resolved Lipid-Rich Plaque Assessment	10.1364/translational.2018.cw4b.2		The Optical Society			cw4b.2
pub.1104322551	2018-01-01	ur.010443565615.19||ur.012340435221.05	Construction of a Synthetic, Chromatin-Based Epigenetic System in Human Cells	10.2139/ssrn.3155804	1556-5068	Elsevier			
pub.1110514223	2018-01-01	ur.0767651144.84	Comparison of Econometric Models and Artificial Neural Networks Algorithms for the Prediction of Baltic Dry Index	10.1109/access.2018.2884877	2169-3536	Institute of Electrical and Electronics Engineers (IEEE)	PP	99	1-1
pub.1090857316	2018-01-01	ur.01103765305.85	Chapter 1 History of Concussion and Chronic Traumatic Encephalopathy	10.1016/b978-0-323-54425-2.00001-1		Elsevier		Annual Review of Clinical Psychology112015	1-17
pub.1105319754	2018-01-01	ur.013465160530.16	Determining Redox Potentials of the Iron–Sulfur Clusters of the AdoMet Radical Enzyme Superfamily	10.1016/bs.mie.2018.06.002	0076-6879	Elsevier	606	Nucleic Acids Research 42 D1 2014	319-339
pub.1100895465	2018-01-01	ur.012561557607.67	Investigation into the Individualized Treatment of Traditional Chinese Medicine through a Series of N-of-1 Trials	10.1155/2018/5813767	1741-427X	Hindawi	2018		5813767
pub.1103962284	2018-01-01	ur.01233605724.49	Stem Cell Therapies for Wound Healing	10.1007/15695_2017_100	2524-4590	Springer Nature			1-14
pub.1103815442	2018-01-01	ur.012615123402.21	A One-Sector Model of Robotic Immiserization	10.1007/978-3-319-78420-5_3		Springer Nature			39-50
pub.1111690107	2018-01-01	ur.012473515721.10	Apraxia of speech in aphasia maps to lesions in the arcuate fasciculus	10.3389/conf.fnhum.2018.228.00088	1662-5161	Frontiers	12		
pub.1101697402	2018-01-01	ur.012473515721.10	Phonemes	10.1007/978-1-4614-6435-8_532-3		Springer Nature			1-2
pub.1105836122	2018-01-01	ur.0767651144.84	Which Artificial Intelligence Algorithm Better Predicts the Chinese Stock Market?	10.1109/access.2018.2859809	2169-3536	Institute of Electrical and Electronics Engineers (IEEE)	6		48625-48633
pub.1101856912	2018-01-01	ur.01264254057.35||ur.010320030677.51	Label-free, Non-invasive Mapping of Water and Lipid Content in Tissue with Structured Shortwave-infrared Imaging (SSI)	10.1364/ots.2018.of2d.3		The Optical Society			of2d.3
pub.1110174389	2018-01-01	ur.01103765305.85	Chapter 4 Catastrophic neurologic injuries in sport	10.1016/b978-0-444-63954-7.00004-5	0072-9752	Elsevier	158		25-37
pub.1103837094	2018-01-01	ur.07434324102.46	Piperidinium ionic liquids as electrolyte solvents for sustained high temperature supercapacitor operation	10.1039/c8cc01093e	1359-7345	Royal Society of Chemistry (RSC)	54	44	5590-5593
pub.1101266810	2018-01-01	ur.016021255341.32	The Unintended Consequences of Email Spam Prevention	10.1007/978-3-319-76481-8_12	0302-9743	Springer Nature	10771		158-169
pub.1111220383	2018-01-01	ur.0767651144.84	The Zipf’s Distribution of the Number of Medals in 2016 Olympic Game in Rio DeJaneiro	10.30845/ijhss.v8n10p8	2220-8488	Center for Promoting Ideas	8	10	
pub.1103794373	2018-01-01	ur.01214414646.49||ur.0744466123.32||ur.012347544757.46	Chapter 2 Prion Diseases	10.1016/b978-0-12-811304-2.00002-x		Elsevier			23-56
pub.1099616308	2018-01-01	ur.0731312027.56	Chapter Four Children's Developing Ideas About Knowledge and Its Acquisition	10.1016/bs.acdb.2017.10.005	0065-2407	Elsevier	54		123-151
pub.1109861421	2018-01-01	ur.016021255341.32	Perfect is the Enemy of Good: Setting Realistic Goals for BGP Security	10.1145/3286062.3286071		Association for Computing Machinery (ACM)			57-63
pub.1099637678	2018-01-01	ur.01245771102.76	Intrinsic rippling enhances static non-reciprocity in a graphene metamaterial	10.1039/c7nr07651g	2040-3364	Royal Society of Chemistry (RSC)	10	3	1207-1214
pub.1092545430	2018-01-01	ur.01103765305.85	White matter signal abnormalities in former National Football League players	10.1016/j.dadm.2017.10.003	2352-8729	Elsevier	10		56-65
pub.1107360560	2018-01-01	ur.012561557607.67	Randomised, double-blind, placebo-controlled trial of IL1-trap, rilonacept, in systemic sclerosis. A phase I/II biomarker trial.		0392-856X		36 Suppl 113	4	146-149
pub.1101248219	2018-01-01	ur.0745703346.90	Genetic Variation in Genes Underlying Diverse Dementias May Explain a Small Proportion of Cases in the Alzheimer’s Disease Sequencing Project	10.1159/000485503	1420-8008	Karger Publishers	45	1-2	1-17
pub.1105046173	2018-01-01	ur.011003441512.14||ur.01140514166.67	Recent examples of α-ketoglutarate-dependent mononuclear non-haem iron enzymes in natural product biosyntheses	10.1039/c7np00067g	0265-0568	Royal Society of Chemistry (RSC)	35	8	792-837
pub.1104322382	2018-01-01	ur.01114535725.48	GPS2 Regulates Mitochondria Biogenesis via Mitochondria Retrograde Signaling and Chromatin Remodeling of Nuclear-Encoded Mitochondrial Genes	10.2139/ssrn.3155593	1556-5068	Elsevier			
pub.1103660698	2018-01-01	ur.0630361662.67	Reinforcement of polymeric nanoassemblies for ultra-high drug loadings, modulation of stiffness and release kinetics, and sustained therapeutic efficacy	10.1039/c8nr01978a	2040-3364	Royal Society of Chemistry (RSC)	10	18	8360-8366
pub.1092844870	2018-01-01	ur.01245771102.76	Self-cleaning by harnessing wrinkles in two-dimensional layered crystals	10.1039/c7nr06553a	2040-3364	Royal Society of Chemistry (RSC)	10	1	312-318
pub.1105895560	2018-01-01	ur.016243504644.99	The Adenosine Receptor: A Homeostatic Neuromodulator for Fine-Tuning Control of Cognition	10.1007/978-3-319-90808-3_15		Springer Nature			379-411
pub.1107273974	2018-01-01	ur.015751264660.44	Fusion of deep learning models of MRI scans, Mini–Mental State Examination, and logical memory test enhances diagnosis of mild cognitive impairment	10.1016/j.dadm.2018.08.013	2352-8729	Elsevier	10	Neurol Clin 25 2007	737-749
pub.1110133077	2018-01-01	ur.01002402575.65	Implementing a Pre-Exposure Prophylaxis Intervention for Safer Conception among HIV Serodiscordant Couples: Recommendations for Health Care Providers.		2166-5222		11	2	19-33
pub.1092447699	2018-01-01	ur.010107755367.13	Genome-Wide DNA Methylation Changes Associated with Intermittent Explosive Disorder: A Gene-Based Functional Enrichment Analysis	10.1093/ijnp/pyx087	1461-1457	Oxford University Press (OUP)	21	1	12-20
pub.1091247889	2018-01-01	ur.01143235167.73	Extensor Mechanism Reconstruction for Chronic Patellar Fracture.	10.3928/01477447-20170810-07	0147-7447	SLACK	41	1	e145-e150
pub.1100728299	2018-01-01	ur.014620650437.58	Post-deployment Mental Health in Reserve and National Guard Service Members: Deploying With or Without One's Unit and Deployment Preparedness.	10.1093/milmed/usx002	0026-4075	Oxford University Press (OUP)	183	1-2	e51-e58
pub.1090828678	2018-01-01	ur.01364533746.76	A randomized controlled trial of disclosing genetic risk information for Alzheimer disease via telephone	10.1038/gim.2017.103	1098-3600	Springer Nature	20	1	132
pub.1092184752	2018-01-01	ur.012217755503.71	Ten-year review of Clostridium difficile infection in acute care hospitals in the USA, 2005–2014	10.1016/j.jhin.2017.10.002	0195-6701	Elsevier	98	1	40-43
pub.1109959358	2018-01-01	ur.011370635107.12	Discrete-Time Statistical Inference for Multiscale Diffusions	10.1137/17m1147408	1540-3459	Society for Industrial & Applied Mathematics (SIAM)	16	4	1824-1858
pub.1090991969	2018-01-01	ur.0662334470.09	Corticosterone potentiates DFP-induced neuroinflammation and affects high-order diffusion imaging in a rat model of Gulf War Illness	10.1016/j.bbi.2017.08.003	0889-1591	Elsevier	67		42-46
pub.1105855325	2018-01-01	ur.0746723400.29	Is Variation in Resident-Centered Care and Quality Performance Related to Health System Factors in Veterans Health Administration Nursing Homes?	10.1177/0046958018787031	0046-9580	SAGE Publications	55		0046958018787031
pub.1099687881	2018-01-01	ur.01237165017.63	Between-session and within-session intra-individual variability in attention in aphasia	10.1016/j.neuropsychologia.2017.12.005	0028-3932	Elsevier	109	Cogn. Behav. Neurol. 10 4 1997	95-106
pub.1100278991	2018-01-01	ur.01317166556.42	Acute and Chronic Increases of Circulating FSTL1 Normalize Energy Substrate Metabolism in Pacing-Induced Heart Failure	10.1161/circheartfailure.117.004486	1941-3289	Wolters Kluwer	11	1	e004486
pub.1100336624	2018-01-01	ur.016017413474.83	Search for dark matter produced in association with bottom or top quarks in s=13 TeV pp collisions with the ATLAS detector	10.1140/epjc/s10052-017-5486-1	1434-6044	Springer Nature	78	1	18
pub.1100220373	2018-01-01	ur.016106372667.28	Maintenance of Ideal Cardiovascular Health and Coronary Artery Calcium Progression in Low-Risk Men and Women in the Framingham Heart Study	10.1161/circimaging.117.006209	1941-9651	Wolters Kluwer	11	1	e006209
pub.1100380037	2018-01-01	ur.016017413474.83	Search for heavy resonances decaying into WW in the eνμν final state in pp collisions at s=13TeV with the ATLAS detector	10.1140/epjc/s10052-017-5491-4	1434-6044	Springer Nature	78	1	24
pub.1092576555	2018-01-01	ur.0662334470.09	Neuropsychological functioning in military pesticide applicators from the Gulf War: Effects on information processing speed, attention and visual memory	10.1016/j.ntt.2017.11.002	0892-0362	Elsevier	65	Exp. Neurol. 172 2001	1-13
pub.1101016852	2018-01-01	ur.01030076202.17	Scientific Realism in the Post-Kuhnian Times	10.1007/978-3-319-72478-2_6	1612-3018	Springer Nature			101-123
pub.1074227916	2018-01-01	ur.0746723400.29	Identifying and overcoming implementation challenges	10.1097/hmr.0000000000000152	0361-6274	Wolters Kluwer	43	3	193-205
pub.1101857047	2018-01-01	ur.01144700411.98	Novel Diffuse Correlation Spectroscopy for Simulations Estimation of Hemoglobin Concentration, Oxygen Saturation, and Blood Flow	10.1364/translational.2018.jth3a.33		The Optical Society			jth3a.33
pub.1111888898	2018-01-01	ur.010722475573.30	Calcium imaging in canary (serinus canaria) HVC reveals latent states supporting behavioral sequencing with long range history dependence	10.32470/ccn.2018.1133-0		Cognitive Computational Neuroscience			
pub.1105021369	2018-01-01	ur.010043640032.32	Accessible Privacy-Preserving Web-Based Data Analysis for Assessing and Addressing Economic Inequalities	10.1145/3209811.3212701		Association for Computing Machinery (ACM)			48
pub.1105021367	2018-01-01	ur.010043640032.32	Callisto: A Cryptographic Approach to Detecting Serial Perpetrators of Sexual Misconduct	10.1145/3209811.3212699		Association for Computing Machinery (ACM)			49
pub.1101352300	2018-01-01	ur.012530303602.45||ur.013514505601.52	Bulla	10.1007/978-3-540-69000-9_751		Springer Nature			283-285
pub.1106475192	2018-01-01	ur.010040517726.60	Hybrid System Modeling of Multi-Agent Coverage Problems with Energy Depletion and Repletion	10.1016/j.ifacol.2018.08.038	2405-8963	Elsevier	51	16	223-228
pub.1107548542	2018-01-01	ur.013230377055.04	BET Bromodomain Targeting Suppresses the PD-1/PD-L1 Pathway in Triple-negative Breast Cancer and Elicits Anti-tumor Immune Response	10.2139/ssrn.3260754	1556-5068	Elsevier			
pub.1101339497	2018-01-01	ur.013421660165.41	Computerized Corneal Topography	10.1007/978-3-540-69000-9_775		Springer Nature			459-462
pub.1101824729	2018-01-01	ur.01144700411.98||ur.012510440636.64	Review of Time-domain Diffuse Correlation Spectroscopy: From Theory to Human Subject Studies	10.1364/translational.2018.jtu3a.53		The Optical Society			jtu3a.53
pub.1103356486	2018-01-01	ur.014154343155.19||ur.015433055555.22	Water and Cost Reduction from the Application of EDS to Facilitate Water Free Cleaning in Concentrated Solar Power	10.1557/adv.2018.338	0272-9172	Cambridge University Press (CUP)	3	25	1405-1410
pub.1107777981	2018-01-01	ur.014154343155.19	Dust settles, we don’t: The electrodynamic screen—A self-cleaning technology for concentrated solar power mirrors and photovoltaic panels	10.1557/mre.2018.12	2329-2229	Cambridge University Press (CUP)	5		e12
pub.1104322621	2018-01-01	ur.015042767625.39	Myocardin-Related Transcription Factor A Promotes Recruitment of ITGA5+ Profibrotic Progenitors During Obesity-Induced Adipose Tissue Fibrosis	10.2139/ssrn.3155905	1556-5068	Elsevier			
pub.1101133741	2018-01-01	ur.01344445762.36	Differences of the Morphology of Subaxial Cervical Spine Endplates between Chinese and White Men and Women	10.1155/2018/2854175	2314-6133	Hindawi	2018		2854175
pub.1101856924	2018-01-01	ur.01144700411.98	Multimodal Breast Cancer Imaging Using Coregistered Dynamic DOT and Digital Breast Tomosynthesis	10.1364/ots.2018.of4d.4		The Optical Society			of4d.4
pub.1101857043	2018-01-01	ur.01144700411.98	A Mobile Phone Based Reflectance Pulse Oximeter	10.1364/translational.2018.jth3a.3		The Optical Society			jth3a.3
pub.1103164544	2018-01-01	ur.010040517726.60	Event-Triggered Output Regulation of Heterogeneous Multi-Agent Networks	10.1109/tac.2018.2823085	0018-9286	Institute of Electrical and Electronics Engineers (IEEE)	PP	99	1-1
pub.1107667235	2018-01-01	ur.015044666130.85	Single-molecule protein sensing in a nanopore: a tutorial	10.1039/c8cs00106e	0306-0012	Royal Society of Chemistry (RSC)			
pub.1092446259	2018-01-01	ur.01234512265.35	Studying longitudinal links from early adult adversity to later-life well-being: American repatriated prisoners of the Vietnam war.	10.1037/0000061-009		American Psychological Association (APA)			147-166
pub.1101342781	2018-01-01	ur.0734147402.48||ur.0762707400.38	Nanoparticle–cell interactions induced apoptosis: a case study with nanoconjugated epidermal growth factor	10.1039/c8nr01106k	2040-3364	Royal Society of Chemistry (RSC)	10	14	6712-6723
pub.1100399225	2018-01-01	ur.015644665205.35	Study countries	10.9774/gleaf.9781315182995_3		Taylor & Francis			21-40
pub.1100399226	2018-01-01	ur.015644665205.35	Transition hardware	10.9774/gleaf.9781315182995_4		Taylor & Francis			41-68
pub.1100399227	2018-01-01	ur.015644665205.35	Accelerating deployment	10.9774/gleaf.9781315182995_5		Taylor & Francis			69-86
pub.1100399230	2018-01-01	ur.015644665205.35	Institutional turn	10.9774/gleaf.9781315182995_8		Taylor & Francis			151-169
pub.1100399224	2018-01-01	ur.015644665205.35	Introduction	10.9774/gleaf.9781315182995_2		Taylor & Francis			1-20
pub.1100399231	2018-01-01	ur.015644665205.35	Conclusion	10.9774/gleaf.9781315182995_9		Taylor & Francis			170-172
pub.1059458975	2018-01-01	ur.013571763604.06	Low-Beta Oscillations Turn Up the Gain During Category Judgments.	10.1093/cercor/bhw356	1047-3211	Oxford University Press (OUP)	28	1	116-130
pub.1100399222	2018-01-01	ur.015644665205.35	Preliminary Material	10.9774/gleaf.9781315182995_1		Taylor & Francis			1-22
pub.1100399223	2018-01-01	ur.015644665205.35	Supplementary Material	10.9774/gleaf.9781315182995_10		Taylor & Francis			173-180
pub.1100399229	2018-01-01	ur.015644665205.35	Financing turn	10.9774/gleaf.9781315182995_7		Taylor & Francis			120-150
pub.1100399228	2018-01-01	ur.015644665205.35	Policy turn	10.9774/gleaf.9781315182995_6		Taylor & Francis			87-119
pub.1091499497	2018-01-01	ur.0753617070.54	Design principles for lymphatic drainage of fluid and solutes from collagen scaffolds	10.1002/jbm.a.36211	1549-3296	Wiley	106	1	106-114
pub.1099603949	2018-01-01	ur.015644665205.35	Cosmopolitan, dynamic, and contested energy futures: Navigating the pluralities and polarities in the energy systems of tomorrow	10.1016/j.erss.2017.11.031	2214-6296	Elsevier	35	Energy Res. Soc. Sci. 31 2017	1-10
pub.1099704108	2018-01-01	ur.01157567146.13	Respiration-coupled rhythms in prefrontal cortex: beyond if, to when, how, and why	10.1007/s00429-017-1587-8	1863-2653	Springer Nature	223	1	11-16
pub.1092499341	2018-01-01	ur.01150357660.08||ur.013517764351.76	Consumer use and response to online third‐party raw DNA interpretation services	10.1002/mgg3.340	2324-9269	Wiley	6	1	35-43
pub.1092728628	2018-01-01	ur.015644665205.35	Whose and what futures? Navigating the contested coproduction of Thailand’s energy sociotechnical imaginaries	10.1016/j.erss.2017.10.045	2214-6296	Elsevier	35	Ecol. Econ. 54 2005	48-56
pub.1092185139	2018-01-01	ur.015644665205.35	Critiquing the use of war to mobilise peaceful climate action: A response to Kester & Sovacool	10.1016/j.enpol.2017.09.046	0301-4215	Elsevier	112		1-3
pub.1091501069	2018-01-01	ur.01367757061.36	Amerindian ancestry and extended longevity in Nicoya, Costa Rica	10.1002/ajhb.23055	1042-0533	Wiley	30	1	e23055
pub.1104898985	2018-01-01	ur.010706300736.38	Chronic Kidney Disease-Mineral and Bone Disorder: “Renal Osteodystrophy”	10.1007/978-3-319-78387-1_155		Springer Nature			349-350
pub.1101343113	2018-01-01	ur.010523005216.03	Sipple-Gorlin Syndrome, Enlarged Corneal Nerves	10.1007/978-3-540-69000-9_950		Springer Nature			1641-1642
pub.1105938152	2018-01-01	ur.012571142604.36	Validity and reliability of a Turkish pediatric oral health-related quality of life measure.	10.26650/eor.2018.53923	2630-6158	Istanbul University	52	1	27-35
pub.1100111378	2018-01-01	ur.010260466503.14	Thoracolumbar Deformity MIS (Palsy) Surgery Complication	10.1007/978-3-319-60083-3_22		Springer Nature			211-218
pub.1108063166	2018-01-01	ur.015465226716.77	A cross-layer methodology for design and optimization of networks in 2.5D systems	10.1145/3240765.3240768		Association for Computing Machinery (ACM)			1-8
pub.1103864363	2018-01-01	ur.010474617377.21	Radiation-Free, Sub-Wavelength Optical Resonator based on All-Evanescent Confinement in a High-Index Core Material	10.1364/cleo_si.2018.sth1a.7		The Optical Society			sth1a.7
pub.1100382142	2018-01-01	ur.01306172740.61	Meta-analysis of exome array data identifies six novel genetic loci for lung function	10.12688/wellcomeopenres.12583.1	2398-502X	Faculty of 1000	3		4
pub.1104895276	2018-01-01	ur.010706300736.38	Paget’s Disease of the Bone	10.1007/978-3-319-78387-1_156		Springer Nature			351-352
pub.1105980815	2018-01-01	ur.01252316320.57	Iodine Requirements in Pregnancy	10.1007/978-3-319-90988-2_3		Springer Nature			51-69
